Full,HIP,TYC1,TYC2,TYC3,Plx,e_,PlxsH,e_,q_,PlxsT,e_,q_,logTeff,e_,logLum,e_,Note,n_RVel,n_CCDM,MultFlag
,,,,,mas,mas,mas,mas,,mas,mas,,[K],[K],[solLum],(...),,,,
63,20056,1268,327,1,21.84,1.14,21.94,0.35,0.14,21.73,0.31,0.22,3.7543,0.0025,0.257,0.014,0,1,0,0
64,20082,1264,498,1,20.01,1.91,22.42,0.64,10.9,22.39,0.43,0.81,3.6923,0.0026,-0.498,0.025,0,0,0,0
65,20086,1268,707,1,19.57,1.86,23.56,0.51,28.15,24.11,0.47,5.75,3.6721,0.0022,-0.667,0.02,0,0,0,6
66,20087,1276,1622,1,18.25,0.82,18.31,0.69,0.19,18.7,0.29,0,3.8822,0.0036,1.103,0.033,1,1,1,3
67,20130,1272,325,1,23.53,1.25,21.86,0.44,1.94,21.46,0.38,0.74,3.7392,0.0025,-0.159,0.018,0,0,0,0
68,20146,1268,352,1,21.24,1.32,21.62,0.42,0.23,21.21,0.38,0.61,3.7445,0.0039,-0.096,0.017,0,0,0,0
69,20187,675,372,1,20.13,2.02,31.69,0.69,36.59,32.55,0.49,2.84,,,,,0,0,0,0
70,20205,1264,1009,1,21.17,1.17,22.15,0.39,1.01,22.26,0.27,1.07,,,,,1,0,0,0
71,20215,1264,348,1,23.27,1.14,24.3,0.62,9.55,22.51,0.35,0.27,3.8,0.0041,0.402,0.022,1,1,1,1
72,20219,679,750,1,22.31,0.92,22.28,0.35,0.24,22.38,0.37,0.09,3.8777,0.0035,0.955,0.014,0,0,1,0
73,20237,1272,439,1,22.27,0.93,22.21,0.35,1.04,22.08,0.4,0.15,3.7858,0.0036,0.249,0.014,0,0,0,0
74,20255,1268,1268,1,21.12,0.77,23.55,0.32,68.15,23.24,0.34,9.98,3.8302,0.0032,0.708,0.012,1,1,0,0
75,20261,1264,1010,1,21.2,0.99,21.02,0.35,0.2,20.87,0.32,0.39,3.8955,0.0032,1.132,0.015,0,0,0,0
76,20284,680,27,1,21.8,0.85,20.59,0.35,2.73,20.56,0.36,1.9,3.8151,0.0032,0.816,0.015,1,1,0,0
77,20319,,,,11.64,3.73,14.95,0.92,916.91,,,,,,,,0,0,0,0
78,20349,1276,251,1,19.55,0.89,20.21,0.36,2.49,20.25,0.32,2.13,3.8214,0.0044,0.573,0.015,0,0,0,0
79,20350,1268,295,1,19.83,0.89,21.38,0.34,3.47,21.88,0.35,0.3,3.8194,0.0041,0.521,0.014,0,0,0,0
80,20357,680,994,1,19.46,1.02,20.41,0.36,0.97,20.32,0.39,0,3.8279,0.0043,0.637,0.015,0,0,0,0
81,20400,680,995,1,21.87,0.96,22.35,0.35,1.4,22.3,0.36,2.43,3.8566,0.0035,0.9,0.014,1,1,1,0
82,20419,676,680,1,19.17,1.93,22.13,0.57,5.02,22.67,0.48,0.99,3.6574,0.0021,-0.479,0.023,0,1,0,0
83,20440,1264,755,1,21.45,2.76,21.72,0.65,0.97,22.45,0.5,2.31,3.7976,0.0041,0.454,0.026,1,1,1,1
84,20441,1264,758,1,26.96,1.4,25.47,2.27,16.17,,,,3.7553,0.0025,-0.005,0.077,1,1,0,2
85,20455,1268,1267,1,21.29,0.93,21.16,0.37,0.07,21.14,0.28,0.36,,,,,1,1,1,0
86,20480,1276,639,1,20.63,1.34,19.81,0.43,0.63,19.8,0.37,1.13,3.7363,0.0025,-0.158,0.019,0,0,0,0
87,20482,1272,912,1,15.82,1.44,19.23,0.49,5.96,20.01,0.41,1.64,3.7053,0.0027,-0.316,0.023,0,1,0,3
88,20484,1264,1008,1,21.17,0.8,20.86,0.36,0.78,21.05,0.34,0.01,3.8581,0.0034,0.991,0.015,1,1,0,0
89,20485,1264,902,1,21.08,2.69,24.96,0.79,3,24.43,0.53,2.36,3.6472,0.0021,-0.827,0.028,0,0,0,0
90,20491,1820,1157,1,20.04,0.89,18.67,0.35,3.54,18.46,0.33,0.1,3.8134,0.0029,0.49,0.016,0,0,0,0
91,20492,680,194,1,21.23,1.8,21.03,0.52,1.34,21.64,0.43,2.27,3.7157,0.0047,-0.294,0.023,0,0,0,0
92,20527,680,889,1,22.57,2.78,22.61,0.75,3.56,23.13,0.61,0.21,3.6324,0.0024,-0.87,0.03,0,0,0,0
93,20542,1269,1244,1,22.36,0.88,22.14,0.38,4.2,21.91,0.32,1.91,3.9168,0.0031,1.275,0.015,1,0,1,0
94,20553,680,146,1,22.25,1.52,20.49,0.46,69.87,21.23,0.38,4.71,3.7739,0.0039,0.28,0.02,1,0,3,1
95,20557,1277,747,1,24.47,1.06,23.65,0.4,0.76,23.96,0.35,0.39,3.7976,0.0038,0.316,0.015,0,0,0,0
96,20563,1269,1212,1,19.35,1.79,22.34,0.66,3,22.2,0.46,0.03,3.6799,0.0024,-0.636,0.026,0,0,0,0
97,20567,1269,806,1,18.74,1.17,19.86,0.43,2.22,19.67,0.47,0.17,3.8168,0.0053,0.522,0.019,0,0,0,0
98,20577,1269,1152,1,20.73,1.29,21.77,0.46,4.63,22.3,0.4,11.53,3.7753,0.0039,0.142,0.018,1,2,0,0
99,20601,78,1147,1,14.97,1.51,19.54,0.43,57.1,19.5,0.47,21.56,3.7363,0.0025,-0.182,0.019,0,1,0,0
100,20605,,,,24.41,6.94,20.86,2.69,0.29,,,,3.5749,0.0056,-0.845,0.114,0,0,3,1
101,20614,1273,1106,1,20.4,0.74,21.65,0.33,6.79,21.69,0.34,0.05,3.8379,0.0045,0.834,0.013,1,0,0,0
102,20626,1820,87,1,15.92,1,11.35,0.35,28.06,11.26,0.32,13.05,,,,,0,0,0,0
103,20635,1277,1626,1,21.27,0.8,21.14,0.32,0.04,21.51,0.31,0.06,3.9159,0.003,1.548,0.013,0,0,1,0
