Teff,Lstar_Lsun
5.355263210000000072e+03,4.164999999999999813e-01
5.548245560000000296e+03,4.816000000000000281e-01
5.142982460000001083e+03,3.787000000000000366e-01
5.799122780000000603e+03,1.927029999999999887e+01
5.683333370000000286e+03,1.589000000000000057e+01
3.714912299999999959e+03,1.248552899999999909e+03
3.907894760000000588e+03,9.126019000000000005e+02
6.706140320000001338e+03,3.924199999999999910e+00
5.837719250000000102e+03,9.015999999999999570e-01
5.509649089999999887e+03,7.992599999999998772e+01
5.316666630000000623e+03,1.608257000000000119e+02
5.065789520000001176e+03,1.950403000000000020e+02
4.892105240000000776e+03,1.998002999999999929e+02
5.992105240000000776e+03,5.772024999999999864e+02
5.316666630000000623e+03,1.120175000000000125e+02
4.679824599999999919e+03,6.670461000000000240e+02
3.946491230000000542e+03,1.279022500000000036e+03
6.146491230000000542e+03,7.084000000000000297e-01
6.339473690000000715e+03,9.463999999999999080e-01
5.934210479999999734e+03,9.463999999999999080e-01
5.779824599999999919e+03,6.432999999999999829e-01
