Teff,Lstar_Lsun
1.024280624999999964e+04,1.494999999999999975e-02
1.021765614000000096e+04,1.070434000000000054e+02
1.020088940999999977e+04,9.210349850000000515e+03
1.020088940999999977e+04,8.342235249999999724e+03
1.020088940999999977e+04,4.850000000000000144e-03
1.001137449000000015e+04,4.291732499999999709e+04
1.018412267000000065e+04,1.160365335000000050e+04
1.018412267000000065e+04,3.203883550000000014e+03
1.017573930999999902e+04,2.341693350000000009e+03
1.017573930999999902e+04,2.018549849999999878e+03
1.018412267000000065e+04,2.524480000000000075e+02
1.018412267000000065e+04,2.037130500000000097e+02
1.018412267000000065e+04,1.304809999999999945e+02
1.016735594000000128e+04,2.901903899999999794e+03
1.015058920000000035e+04,1.602215250000000196e+03
1.015058920000000035e+04,2.261523500000000126e+02
1.016735594000000128e+04,2.704999999999999766e-02
1.015058920000000035e+04,7.681647149999999783e+03
1.014500028999999995e+04,2.543068749999999909e+03
1.012663672000000042e+04,2.018549849999999878e+03
1.013382247000000098e+04,4.202548849999999948e+04
1.013382247000000098e+04,5.802817150000000765e+03
1.013382247000000098e+04,1.304809999999999945e+02
1.013382247000000098e+04,2.149999999999999828e-02
1.013382247000000098e+04,9.749999999999999986e-03
1.011705573000000004e+04,5.845546024999999645e+04
1.010587790999999925e+04,1.768945949999999812e+03
1.011705573000000004e+04,1.475342249999999922e+03
1.011705573000000004e+04,1.181826000000000079e+02
1.010028900000000067e+04,6.781341654999999446e+04
1.010028900000000067e+04,1.602215250000000196e+03
1.010028900000000067e+04,1.348585499999999797e+02
1.008352225999999973e+04,1.414432200000000012e+04
1.008352225999999973e+04,5.614455649999999878e+03
1.008352225999999973e+04,4.920199700000000121e+03
1.008352225999999973e+04,4.171829700000000230e+03
1.006675552000000062e+04,3.537287949999999910e+03
1.008352225999999973e+04,3.311371849999999995e+03
1.006675552000000062e+04,1.262455500000000086e+02
1.008352225999999973e+04,2.080000000000000251e-02
1.008352225999999973e+04,1.885000000000000217e-02
1.005837215999999898e+04,1.655968600000000151e+03
9.833786149999999907e+03,1.087199944999999934e+04
1.003322205000000031e+04,8.071443299999999908e+03
1.003322205000000031e+04,4.920199700000000121e+03
1.003322205000000031e+04,9.076194999999999879e+01
1.001645532000000094e+04,2.398180329999999958e+04
1.001645532000000094e+04,2.033413394999999946e+04
1.000807194999999956e+04,4.530588850000000093e+03
1.001645532000000094e+04,3.905387299999999868e+03
1.001645532000000094e+04,3.537287949999999910e+03
9.999688580000000002e+03,2.966451000000000022e+03
1.001645532000000094e+04,2.460519850000000133e+03
1.000807194999999956e+04,1.575996499999999969e+03
9.995496900000000096e+03,1.221475499999999954e+02
9.999688580000000002e+03,9.856704999999999472e+01
9.999688580000000002e+03,1.544999999999999846e-02
9.982921850000000632e+03,2.716567900000000009e+03
9.982921850000000632e+03,2.303373750000000200e+03
9.966155109999999695e+03,4.171829700000000230e+03
9.939480759999998554e+03,8.306136500000001206e+02
9.966155109999999695e+03,1.143463500000000010e+02
9.949388380000000325e+03,3.203883550000000014e+03
9.932621640000001207e+03,2.476812450000000354e+03
9.932621640000001207e+03,2.204225899999999911e+03
9.942681679999999687e+03,1.206347050000000081e+03
9.949388380000000325e+03,8.781575000000000841e+01
9.932621640000001207e+03,2.282364425000000119e+04
9.915854900000000271e+03,3.537287949999999910e+03
9.915854900000000271e+03,3.203883550000000014e+03
9.838727920000001177e+03,7.946615500000000338e+02
9.899088170000000900e+03,3.682882345000000350e+04
9.882321429999999964e+03,2.132675950000000284e+03
9.882321429999999964e+03,1.798374649999999747e+03
9.899088170000000900e+03,1.602215250000000196e+03
9.899088170000000900e+03,2.080000000000000251e-02
9.873938070000000153e+03,3.099884349999999813e+03
9.855494660000000295e+03,1.451199649999999792e+03
9.873938070000000153e+03,9.143025499999999965e+02
9.848787959999999657e+03,2.018549849999999878e+03
9.848787959999999657e+03,5.953658499999999094e+02
9.832021230000000287e+03,1.587601295000000027e+04
9.832021230000000287e+03,1.199294874999999956e+04
9.832021230000000287e+03,4.171829700000000230e+03
9.832021230000000287e+03,2.901903899999999794e+03
9.832021230000000287e+03,1.798374649999999747e+03
9.823637859999998909e+03,6.525164999999999793e+01
9.815254490000001169e+03,2.303373750000000200e+03
9.815254490000001169e+03,1.575996499999999969e+03
9.815254490000001169e+03,1.314417949999999792e+03
9.798487759999999980e+03,2.585376049999999850e+03
9.798487759999999980e+03,2.086270950000000084e+03
9.773337649999999485e+03,1.889631050000000187e+03
9.798487759999999980e+03,1.404093200000000024e+03
9.787309929999999440e+03,1.230469949999999926e+03
9.798487759999999980e+03,7.257236999999998943e+02
9.798487759999999980e+03,7.445885000000001241e+01
9.798487759999999980e+03,2.009999999999999981e-02
9.798487759999999980e+03,1.499999999999999814e-03
9.781721020000000863e+03,3.122710244999999850e+04
9.781721020000000863e+03,2.736571265000000130e+04
9.769145969999999579e+03,1.537470600000000104e+03
9.767349529999999504e+03,8.456564999999999088e+01
9.764954279999999926e+03,2.561794564999999784e+04
9.764954279999999926e+03,1.358515850000000000e+03
9.764954279999999926e+03,1.310000000000000053e-02
9.764954279999999926e+03,5.200000000000000629e-03
9.748187550000000556e+03,1.190528449999999793e+03
9.748187550000000556e+03,1.625000000000000056e-02
9.748187550000000556e+03,1.225000000000000047e-02
9.731420809999999619e+03,2.460519850000000133e+03
9.723037440000000061e+03,1.655968600000000151e+03
9.721360770000001139e+03,1.305771649999999681e+03
9.692298429999998916e+03,1.072401850000000195e+03
9.731420809999999619e+03,7.204189999999999827e+01
9.731420809999999619e+03,6.525164999999999793e+01
9.731420809999999619e+03,1.494999999999999975e-02
9.714654080000000249e+03,1.281115955000000031e+04
9.714654080000000249e+03,1.499886500000000069e+03
9.689503969999999754e+03,8.071443299999999908e+03
9.664353870000000825e+03,2.901903899999999794e+03
9.664353870000000825e+03,1.798374649999999747e+03
9.664353870000000825e+03,1.550206799999999930e+03
9.647587129999999888e+03,1.388733349999999973e+03
9.664353870000000825e+03,7.445885000000001241e+01
9.630820400000000518e+03,2.901903899999999794e+03
9.626628720000000612e+03,1.739998749999999973e+03
9.630820400000000518e+03,1.550206799999999930e+03
9.630820400000000518e+03,6.525164999999999793e+01
9.630820400000000518e+03,6.108419999999999561e+01
9.630820400000000518e+03,1.544999999999999846e-02
9.630820400000000518e+03,4.000000000000000083e-03
9.614053659999999581e+03,5.802817150000000765e+03
9.597286930000000211e+03,1.271751449999999977e+03
9.580520190000001094e+03,9.984045500000000857e+02
9.593095240000000558e+03,8.488768000000000029e+02
9.568326199999999517e+03,6.332325000000000159e+01
9.597286930000000211e+03,1.185000000000000116e-02
9.597286930000000211e+03,1.004999999999999991e-02
9.597286930000000211e+03,5.200000000000000629e-03
9.580520190000001094e+03,6.406673350000000028e+03
9.555370090000000346e+03,2.120978799999999865e+03
9.563753459999999905e+03,1.550206799999999930e+03
9.563753459999999905e+03,1.885000000000000217e-02
9.563753459999999905e+03,1.310000000000000053e-02
9.563753459999999905e+03,6.349999999999999742e-03
9.563753459999999905e+03,1.549999999999999946e-03
9.546986720000000787e+03,4.456449999999999818e+03
9.546986720000000787e+03,5.048097999999999388e+02
9.546986720000000787e+03,4.725690999999999917e+02
9.546986720000000787e+03,7.953874999999999318e+01
9.530219990000001417e+03,1.798374649999999747e+03
9.530219990000001417e+03,1.114492949999999837e+03
9.530219990000001417e+03,1.043313550000000077e+03
9.479919780000000173e+03,9.019632500000000164e+02
9.530219990000001417e+03,1.310000000000000053e-02
9.492494829999999638e+03,7.562847499999999172e+02
9.479919780000000173e+03,2.156264049999999770e+03
9.479919780000000173e+03,1.499886500000000069e+03
9.479919780000000173e+03,1.114492949999999837e+03
9.479919780000000173e+03,6.573211500000001024e+02
9.479919780000000173e+03,1.699014500000000112e+02
9.346584310000000187e+03,5.903991500000000087e+03
9.454769679999999425e+03,1.858709000000000060e+03
9.463153040000001056e+03,1.655968600000000151e+03
9.463153040000001056e+03,1.043313550000000077e+03
9.454769679999999425e+03,7.138478999999999814e+02
9.440797399999999470e+03,1.230469949999999926e+03
9.429619570000000749e+03,4.311792050000000017e+03
9.429619570000000749e+03,3.716783500000000458e+03
9.429619570000000749e+03,2.460519850000000133e+03
9.429619570000000749e+03,9.766802000000000135e+02
9.421236199999999371e+03,8.012444000000000415e+02
9.429619570000000749e+03,6.793739000000000487e+02
9.429619570000000749e+03,5.011199999999999477e+01
9.429619570000000749e+03,1.225000000000000047e-02
9.412852840000001379e+03,4.538869999999999294e+01
9.387702729999999065e+03,6.906761500000000069e+02
9.396086100000000442e+03,6.359843000000000757e+02
9.396086100000000442e+03,3.750996499999999969e+02
9.396086100000000442e+03,5.532675000000000409e+01
9.384908279999999650e+03,4.848534999999999684e+01
9.362552630000000136e+03,2.380650500000000193e+03
9.354169259999998758e+03,8.145741499999999178e+02
9.362552630000000136e+03,3.049999999999999760e-03
9.345785890000001018e+03,3.203883550000000014e+03
9.345785890000001018e+03,1.550206799999999930e+03
9.345785890000001018e+03,1.043313550000000077e+03
9.331414409999999407e+03,6.010056500000000597e+02
9.345785890000001018e+03,4.391539999999999822e+01
9.312252420000000711e+03,7.838101000000000340e+02
9.320635790000000270e+03,7.257236999999998943e+02
9.278718950000000405e+03,3.445838499999999840e+02
9.312252420000000711e+03,4.066089999999999804e+01
9.320635790000000270e+03,9.400000000000000369e-03
9.320635790000000270e+03,1.750000000000000036e-03
9.295485690000001341e+03,5.011199999999999477e+01
9.295485690000001341e+03,4.391539999999999822e+01
9.278718950000000405e+03,2.303373750000000200e+03
9.278718950000000405e+03,9.449768500000000131e+02
9.278718950000000405e+03,6.052705500000000711e+02
9.273130040000000008e+03,4.938256000000000085e+02
9.278718950000000405e+03,3.876840500000000134e+02
9.278718950000000405e+03,9.400000000000000369e-03
9.278718950000000405e+03,2.799999999999999538e-03
9.261952220000001034e+03,1.798374649999999747e+03
9.261952220000001034e+03,1.043313550000000077e+03
9.253568849999999657e+03,5.573415999999999713e+02
9.245185480000000098e+03,2.469549499999999966e+02
9.245185480000000098e+03,1.550206799999999930e+03
9.245185480000000098e+03,1.404093200000000024e+03
9.245185480000000098e+03,9.766802000000000135e+02
9.245185480000000098e+03,6.052705500000000711e+02
9.228418740000000980e+03,4.319675000000000153e+01
9.245185480000000098e+03,9.400000000000000369e-03
