# File generated by CMD 2.2 (http://stev.oapd.inaf.it/cmd) on Tue Apr  6 21:54:41 CEST 2010
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#   Isochrone   Z = 0.01900     Age =   3.162e+08 yr
# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    U       B       V       R       I       J       H       K   C/O M_hec   period  pmode   logMdot int_IMF
    8.50    3.2013695240    3.2014  2.2205  3.6750  2.3686  -0.781  1.541   0.669   -0.436  -1.009  -1.486  -2.190  -2.747  -2.817  0.4787  0.0000  1.8 1   -13.487 3.3074741364
    8.50    3.2019100189    3.2019  2.2769  3.6698  2.2916  -0.922  1.511   0.587   -0.544  -1.132  -1.620  -2.345  -2.919  -2.993  0.4787  0.0000  2.0 1   -13.487 3.3074834347
    8.50    3.2024824619    3.2025  2.3351  3.6650  2.2145  -1.068  1.469   0.495   -0.660  -1.261  -1.760  -2.504  -3.093  -3.170  0.4787  0.0000  2.3 1   -13.487 3.3074932098
    8.50    3.2030661106    3.2031  2.3941  3.6605  2.1374  -1.215  1.424   0.400   -0.779  -1.393  -1.902  -2.664  -3.268  -3.348  0.4787  0.0000  2.7 1   -13.487 3.3075029850
    8.50    3.2037577629    3.2038  2.4629  3.6550  2.0467  -1.387  1.376   0.292   -0.917  -1.546  -2.068  -2.851  -3.473  -3.557  0.4787  0.0000  3.1 1   -13.487 3.3075149059
    8.50    3.2043426037    3.2043  2.5201  3.6512  1.9745  -1.530  1.323   0.194   -1.037  -1.676  -2.206  -3.005  -3.639  -3.725  0.4787  0.0000  3.5 1   -13.487 3.3075249195
    8.50    3.2049124241    3.2049  2.5781  3.6470  1.8996  -1.675  1.286   0.104   -1.151  -1.802  -2.344  -3.161  -3.809  -3.898  0.4787  0.0000  4.0 1   -13.487 3.3075346947
    8.50    3.2054257393    3.2054  2.6320  3.6423  1.8273  -1.810  1.272   0.031   -1.248  -1.915  -2.469  -3.306  -3.970  -4.063  0.4787  0.0000  4.6 1   -13.487 3.3075432777
    8.50    3.2059736252    3.2060  2.6906  3.6382  1.7521  -1.956  1.238   -0.058  -1.362  -2.041  -2.608  -3.463  -4.141  -4.237  0.4787  0.0000  5.2 1   -13.487 3.3075525761
    8.50    3.2064800262    3.2065  2.7414  3.6350  1.6888  -2.084  1.199   -0.141  -1.464  -2.153  -2.728  -3.597  -4.286  -4.384  0.4787  0.0000  5.8 1   -13.487 3.3075613976
