RAh RAm RAs DEd DEm DEs DelV P    Bmag  Vmag  Rmag  Imag  # Name1 Name2 
5 39 40.97 -70 20  0.4 0.11   3.07 16.40 15.73 15.34 14.92 # Ogle 211288 
5 39 41.74 -70 22  7.4 0.13   2.32 16.50 15.90 15.55 15.13 # Ogle 207496 
5 39 44.30 -70 16 28.9 0.20   4.79 16.94 16.05 15.51 15.09 # Ogle 214828 
5 39 44.76 -70 19 14.0 0.17   2.11 18.44 17.42 16.76 16.04 # Ogle 211372 
5 39 44.91 -70 30 47.3 0.20   2.46 17.51 16.70  0.00 15.89 # Ogle 200392 
5 39 47.24 -70 24 42.6 0.13   4.10 16.85 16.10 15.70 15.09 # Ogle 203764 
5 39 50.14 -70 13 26.6 0.20   4.92 17.13 16.13 15.68 15.16 # Ogle 214838 
5 39 51.27 -70 28 52.0 0.20   2.87 16.53 15.95 15.61 15.34 # Ogle 200415 
5 39 52.63 -70 25 54.5 0.11   3.78 16.30 15.71 15.38 14.91 # Ogle 203724 
5 39 55.66 -70 15 12.8 0.17   1.95 17.21 16.49 16.14 15.66 # Ogle 33591  
5 39 59.21 -70 19 46.4 0.13   2.02 16.86 16.18 15.85 15.37 # Ogle 29237  
5 40  1.83 -70 16 13.2 0.13   5.56 18.65 17.24 16.50 15.69 # Ogle 33576  
5 40  5.19 -70 30 11.1 0.20   2.31 17.28 16.52 15.97 15.58 # Ogle 17724  
5 40  6.27 -70 23 31.3 0.11   3.58 16.50 16.03 15.56 15.21 # Ogle 25015  
5 40  7.85 -70 15  4.7 0.17   2.30 18.61 17.50 16.92 16.11 # Ogle 33594  
5 40  8.12 -70 21 35.9 0.13   3.28 17.06 16.29 15.88 15.42 # Ogle 25041  
5 40 10.81 -70 24 30.5 0.11   1.99 16.70 16.10 15.77 15.33 # Ogle 25000  
5 40 13.01 -70 26 34.7 0.13   2.08 16.88 16.17 15.87 15.46 # Ogle 20966  
5 40 15.52 -70 19 53.4 0.13   3.55 16.46 15.96 15.55 15.16 # Evs HV2762  
5 40 26.37 -70 21 46.3 0.11   2.68 17.15 16.29 16.01 15.46 # Ogle 25039  
5 40 28.70 -70 10 38.6 0.20   2.16 16.59 15.98 15.70 15.27 # Ogle 37403  
5 40 30.66 -70 23 52.2 0.17   2.60  0.00 19.02 18.48 17.81 # Ogle 24980  
5 40 32.01 -70 28 28.9 0.20   2.04 16.62 16.10 15.65 15.44 # Ogle 17739  
5 40 32.32 -70 18  2.0 0.09   3.25 16.41 15.87 15.58 15.20 # Ogle 29260  
5 40 32.47 -70 23 18.7 0.13   4.12 16.45 15.78 15.42 14.93 # Ogle 24988  
5 40 32.99 -70 20 27.3 0.11   5.41 16.53 15.73 15.28 14.77 # Ogle 29194  
5 40 42.92 -70 21 54.0 0.20   3.43 16.39 15.67 15.43 15.06 # Ogle 81430  
5 40 43.72 -70 20 53.0 0.20   2.64 17.48 16.58 16.21 15.73 # Ogle 85260  
5 40 47.56 -70 29 28.2 0.20   2.17 16.73 16.13 15.67 15.43 # Ogle 74813  
5 40 51.92 -70 22 36.4 0.20   2.23 16.78 16.40 15.97 15.79 # Ogle 81459  
5 40 54.29 -70 16  6.2 0.20   2.33 17.57 16.56 16.14 15.59 # Ogle 89161  
5 40 57.98 -70 17  4.3 0.17   3.14 17.54 16.63 16.04 15.49 # Ogle 89131  
5 40 59.27 -70 15 54.7 0.17   1.95 17.09 16.51 16.02 15.69 # Ogle 89164  
5 41  5.27 -70 19 36.2 0.20   4.06 15.78 15.47 15.04 14.88 # Ogle 85244  
5 41  6.47 -70 24 18.7 0.20   3.03 17.15 16.41 15.92 15.61 # Ogle 81440  
5 41  7.80 -70 22 54.9 0.20   2.02 16.76 16.04 15.76 15.38 # Ogle 81454  
5 41  9.11 -70 24 10.2 0.20   5.11 16.64 15.55 15.28 14.76 # Ogle 81414  
5 41 15.67 -70 28 46.2 0.20  11.07 18.68 18.18 17.91 17.51 # Ogle 75012  
5 41 16.38 -70 18 25.6 0.20   1.96 16.91 16.26 15.78 15.46 # Ogle 85282  
5 41 18.95 -70 22 50.3 0.20   3.68 17.10 15.97 15.83 15.22 # Ogle 133782 
5 41 21.86 -70 26 24.7 0.20   4.06 16.46 15.90 15.36 15.10 # Ogle 130425 
5 41 22.99 -70 11 51.8 0.17   2.38 16.38 15.87 15.50 15.19 # Ogle 144662 
5 41 23.59 -70 16 57.6 0.17   4.63 15.95 15.56 15.06 14.85 # Ogle 140993 
5 41 24.30 -70 17 47.6 0.17   3.40 18.72 17.49 16.82 16.17 # Ogle 137424 
5 41 34.22 -70 17 22.2 0.17   2.27 17.15 16.35 15.93 15.55 # Ogle 141019 
5 41 35.19 -70 17 33.9 0.17   2.92 17.46 16.40 16.13 15.57 # Ogle 141015 
#5 44  5.87 -67 23 14.7 0.20   0.00 15.69 15.10 14.78 14.48 # Evs HV2825  
#5 44 41.90 -67 20 28.9 0.07   0.00 16.08 15.57 15.25 14.88 # Evs LMV681  
5 45  9.96 -67 23  9.1 0.04  17.53 15.56 14.63 14.07 13.55 # Evs HV2836  
5 45 33.42 -67 21 21.4 0.06   2.68 16.58 16.11 15.80 15.48 # Evs HV6044  
5 46 36.17 -68 11  3.5 0.02  26.54 14.66 13.77 13.20 12.75 # Evs HV1023  
5 47 39.26 -66 58  3.3 0.07   8.63 15.42 14.65 14.23 13.87 # Evs HV2854  
5 47 48.51 -66 57 29.5 0.07   4.06 15.92 15.23 14.81 14.48 # Evs HV13047 
5 48  6.89 -71 30 21.7 0.11  13.40 14.69 14.15 13.68 13.37 # Evs HV12656 
5 48 16.10 -71 28 13.7 0.13   2.31 17.47 16.32 15.83 15.33 # EvsV2 N2121 
5 48 18.11 -71 27 32.3 0.13   5.70 16.31 15.48 15.04 14.66 # EvsV1 N2121 
5 50 11.11 -69 41 22.1 0.17   3.47 16.60 16.04 15.55 15.28 # Evs HV12229 
5 50 42.89 -69 36  0.8 0.17   3.97 15.99 15.43 15.07 14.75 # Evs HV12066 
5 50 57.05 -69 40 31.2 0.07   6.84 15.93 15.20 14.78 14.40 # Evs HV6065  
5 51 51.46 -69 44 10.7 0.17   2.29 16.46 16.05 15.67 15.44 # Evs HV12068 
5 57 31.45 -67 37 29.4 0.07   8.15 15.68 14.86 14.49 14.11 # Evs HV12700 
5 57 46.81 -68 41  4.6 0.09   4.78 15.96 15.33 15.02 14.65 # Evs HV6093  
