RAh RAm RAs DEd DEm DEs DelV P    Bmag  Vmag  Rmag  Imag  # Name1 Name2 
5  7 36.35 -68 50  8.9 0.06   0.41 18.40 17.98 17.67 17.47 # Ogle 71294  
5  7 42.16 -69 14 46.3 0.06  18.47 15.47 14.30 13.84 13.32 # Ogle 32393  
5  7 49.86 -69  2 43.7 0.06   1.90 16.58 16.10 15.79 15.46 # Ogle 54739  
5  8  5.83 -70 22 52.2 0.07   4.74 16.29 15.64 15.21 14.83 # Evs HV2345  
5  8  6.90 -68 41  6.6 0.07   3.59 16.43 15.97 15.57 15.19 # KMS SW-341  
5  8  9.24 -69 15 46.2 0.07   3.10 16.79 16.22 15.81 15.46 # Ogle 118714 
5  8  9.60 -68 10 36.1 0.17   2.38 16.63 16.21 15.96 15.70 # Evs HV5604  
5  8 10.61 -69  7 45.6 0.13  10.04 17.55 17.39 17.15 17.04 # Ogle 130631 
5  8 17.62 -70 11 28.9 0.20   5.07 15.79 15.26 14.87 14.62 # Evs HV12555 
5  8 17.92 -68 46 45.9 0.03  30.39 14.42 13.48 12.88 12.47 # Ogle 162232 
5  8 20.45 -69 10 15.9 0.11   1.81 16.82 16.22 15.76 15.49 # Ogle 124360 
5  8 21.04 -69  7 16.2 0.17   0.66 17.60 17.07 16.29 16.65 # Ogle 130342 
5  8 30.10 -69  7 41.8 0.11   2.79 16.55 16.15 15.67 15.47 # Ogle 130217 
5  8 30.32 -69  8 45.7 0.11   3.38 16.66 16.12 15.63 15.37 # Ogle 130198 
5  8 34.96 -68 48 58.3 0.03   2.71 16.79 16.28 15.95 15.59 # Ogle 156885 
5  8 42.80 -68 45 31.9 0.05   8.56 15.14 14.69 14.23 13.84 # Ogle 250938 
5  8 43.28 -69  8 25.3 0.11   4.21 16.56 15.76 15.24 14.93 # Ogle 217088 
5  8 43.68 -68 45 26.8 0.06  18.66 14.48 13.97 13.52 13.05 # Ogle 250872 
5  8 46.30 -68 45 38.9 0.04   5.57 14.37 14.13 13.99 14.03 # Ogle 250925 
5  8 46.26 -68 10 29.6 0.17   8.90 15.21 14.55 14.23 13.81 # Evs HV2332  
5  8 49.28 -68 59 57.9 0.03  13.88 15.06 14.28 13.89 13.39 # Ogle 227948 
5  8 53.79 -69 14 32.0 0.17   3.59 16.92 16.19 15.63 15.35 # Ogle 206018 
5  8 54.60 -68 43  8.8 0.04   7.01 15.71 15.10 14.66 14.28 # Ogle 257269 
5  8 57.34 -68 50 57.9 0.03   4.37 16.11 15.51 15.12 14.78 # Ogle 244566 
5  9  4.39 -70 21 54.1 0.03  13.63 14.86 14.21 13.74 13.38 # Evs HV2352  
5  9  6.94 -70 21  3.7 0.03   3.11 15.91 15.38 15.05 14.78 # Evs HV2353  
5  9 14.85 -69  9  1.8 0.07   3.04 16.89 16.27 15.65 15.51 # Ogle 217136 
5  9 15.63 -68 44 28.4 0.04  11.86 15.06 14.39 13.99 13.56 # Ogle 257240 
5  9 17.51 -69 17 55.3 0.17   1.52 16.68 16.18 15.77 15.59 # Ogle 200817 
5  9 20.13 -70 27 27.0 0.11  37.58 14.14 13.03 12.54 12.10 # Evs HV909   
#5  9 20.19 -68 51  3.9 0.00   0.00 15.70 14.78 14.33 13.93 # A83 N1854   
5  9 22.19 -69  7 18.3 0.09   1.07 16.38 16.16 16.31 16.33 # Ogle 306838 
5  9 26.58 -68 50 34.8 0.05   1.74 16.71 16.22 15.89 15.60 # Ogle 338308 
5  9 26.70 -68 54 11.6 0.04  11.91 15.35 14.56 14.08 13.69 # Ogle 331546 
5  9 29.50 -68 58 14.4 0.03   4.46 16.43 15.74 15.30 14.96 # Ogle 325522 
5  9 36.65 -70 17 25.5 0.06   5.83 16.45 16.58 16.61 16.71 # Evs HV12560 
5  9 49.03 -69 17  6.9 0.20   2.76 16.98 16.36 15.88 15.62 # Ogle 290607 
5  9 52.09 -69 12 28.6 0.07   1.94 17.24 16.60 16.14 15.75 # Ogle 300939 
5  9 53.28 -68 59  2.8 0.04   1.71 17.06 16.50 16.09 15.79 # Ogle 325558 
5  9 55.69 -68 49 11.9 0.04   2.77 16.95 16.36 15.87 15.57 # Ogle 338248 
5  9 56.09 -68 59 39.5 0.06   8.19 15.09 14.54 14.15 13.87 # Ogle 320035 
5  9 57.12 -69 14 35.4 0.20   0.15 14.03 14.21 14.22 14.44 # Evs 90      
5  9 59.01 -69  8 39.6 0.06   5.79 15.96 15.31 14.93 14.61 # Ogle 35605  
5 10  1.63 -69  7 43.0 0.06   1.76 16.31 15.84 15.56 15.28 # Ogle 35651  
5 10  2.67 -69  1 14.9 0.07   3.34 16.32 15.80 15.45 15.15 # Ogle 44984  
5 10  4.20 -68 53 28.4 0.05   2.71 16.72 16.19 15.81 15.50 # Ogle 54641  
5 10  5.15 -68 55 30.5 0.04   1.57 16.78 16.28 15.96 15.70 # Ogle 49799  
5 10  7.98 -68 56 25.9 0.03   2.30 16.31 15.76 15.44 15.11 # Ogle 49743  
